Timestamp,Price,LDP
1738316770,1766.47,7
1738316772,1765.94,4
1738316774,1766.06,6
1738316776,1766.44,4
1738316778,1765.98,8
1738316780,1766.17,7
1738316782,1766.49,9
1738316784,1765.82,2
1738316786,1765.65,5
1738316788,1765.38,8
1738316790,1764.84,4
1738316792,1765.09,9
1738316794,1764.73,3
1738316796,1764.42,2
1738316798,1764.15,5
1738316800,1764.1,0
1738316802,1764.65,5
1738316804,1764.76,6
1738316806,1764.75,5
1738316808,1764.79,9
1738316810,1764.92,2
1738316812,1764.37,7
1738316814,1764.27,7
1738316816,1764.4,0
1738316818,1764.39,9
1738316820,1764.2,0
1738316822,1764.56,6
1738316824,1765.03,3
1738316826,1765.14,4
1738316828,1765.06,6
1738316830,1765.34,4
1738316832,1765,0
1738316834,1764.17,7
1738316836,1763.91,1
1738316838,1763.88,8
1738316840,1764.48,8
1738316842,1765.22,2
1738316844,1764.81,1
1738316846,1764.61,1
1738316848,1763.88,8
1738316850,1763.2,0
1738316852,1763.08,8
1738316854,1763.25,5
1738316856,1761.77,7
1738316858,1762.3,0
1738316860,1761.78,8
1738316862,1761.23,3
1738316864,1761.74,4
1738316866,1761.59,9
1738316868,1761.23,3
1738316870,1761.07,7
1738316872,1760.97,7
1738316874,1761.06,6
1738316876,1760.96,6
1738316878,1760.55,5
1738316880,1759.94,4
1738316882,1759.65,5
1738316884,1759.33,3
1738316886,1759.51,1
1738316888,1760.04,4
1738316890,1759.5,0
1738316892,1759.34,4
1738316894,1759.17,7
1738316896,1759.09,9
1738316898,1759.49,9
1738316900,1758.94,4
1738316902,1759.32,2
1738316904,1758.81,1
1738316906,1759.22,2
1738316908,1759.51,1
1738316910,1760.59,9
1738316912,1760.85,5
1738316914,1760.84,4
1738316916,1760.5,0
1738316918,1761.2,0
1738316920,1761.49,9
1738316922,1761.21,1
1738316924,1761.7,0
1738316926,1761.76,6
1738316928,1761.89,9
1738316930,1761.9,0
1738316932,1761.79,9
1738316934,1760.95,5
1738316936,1760.83,3
1738316938,1760.2,0
1738316940,1759.18,8
1738316942,1759.18,8
1738316944,1759.58,8
1738316946,1759.63,3
1738316948,1759.34,4
1738316950,1759.8,0
1738316952,1760.01,1
1738316954,1759.71,1
1738316956,1759.76,6
1738316958,1759.7,0
1738316960,1760.23,3
1738316962,1760.29,9
1738316964,1760.15,5
1738316966,1759.39,9
1738316968,1759.47,7
1738316970,1760.16,6
1738316972,1760.29,9
1738316974,1759.76,6
1738316976,1759.66,6
1738316978,1759.88,8
1738316980,1759.62,2
1738316982,1760.62,2
1738316984,1761.27,7
1738316986,1761.32,2
1738316988,1761.06,6
1738316990,1761.44,4
1738316992,1761.13,3
1738316994,1760.96,6
1738316996,1760.88,8
1738316998,1760.83,3
1738317000,1761.44,4
1738317002,1761.25,5
1738317004,1761.84,4
1738317006,1762.29,9
1738317008,1761.67,7
1738317010,1762.08,8
1738317012,1762.66,6
1738317014,1762.54,4
1738317016,1761.46,6
1738317018,1761.49,9
1738317020,1761.22,2
1738317022,1760.62,2
1738317024,1760.76,6
1738317026,1761.43,3
1738317028,1761.57,7
1738317030,1761.55,5
1738317032,1761.32,2
1738317034,1761.01,1
1738317036,1760.28,8
1738317038,1760.75,5
1738317040,1760.84,4
1738317042,1761.17,7
1738317044,1762.07,7
1738317046,1762.72,2
1738317048,1762.64,4
1738317050,1762.77,7
1738317052,1762.52,2
1738317054,1762.31,1
1738317056,1762.01,1
1738317058,1761.87,7
1738317060,1761.61,1
1738317062,1761.79,9
1738317064,1762.74,4
1738317066,1761.79,9
1738317068,1761.9,0
1738317070,1762.15,5
1738317072,1762.37,7
1738317074,1762.53,3
1738317076,1762.04,4
1738317078,1761.15,5
1738317080,1761.18,8
1738317082,1760.43,3
1738317084,1760.23,3
1738317086,1760.36,6
1738317088,1760.23,3
1738317090,1760.6,0
1738317092,1760.43,3
1738317094,1760.65,5
